"Date (00:00 UTC,Coingecko)",Relative to the ETH Price at Launch,ETH price,TEC price (USD),Market Cap (USD),Token Supply (TEC),TEC price (ETH),Notes
12/30/2021,64.78%,"$3,644.41",$0.75,"$1,494,553",-,0.00020579,
12/31/2021,63.55%,"$3,714.95",$0.75,"$1,494,553",-,0.00020189,
1/1/2022,64.04%,"$3,686.40",$0.75,"$1,494,553",-,0.00020345,
1/2/2022,62.45%,"$3,780.32",$0.75,"$1,494,553",-,0.00019840,
1/3/2022,61.56%,"$3,835.40",$0.75,"$1,494,553",-,0.00019555,
1/4/2022,62.63%,"$3,769.40",$0.75,"$1,494,553",-,0.00019897,
1/5/2022,62.21%,"$3,794.91",$0.75,"$1,494,553",-,0.00019763,
1/6/2022,66.37%,"$3,556.91",$0.75,"$1,494,553",-,0.00021086,
1/7/2022,69.10%,"$3,416.83",$0.75,"$1,494,553",-,0.00021950,
1/8/2022,73.74%,"$3,201.79",$0.75,"$1,494,553",-,0.00023424,
1/9/2022,76.13%,"$3,101.04",$0.75,"$1,494,553",-,0.00024185,
1/10/2022,74.78%,"$3,156.97",$0.75,"$1,494,553",-,0.00023757,
1/11/2022,76.48%,"$3,086.73",$0.75,"$1,494,553",-,0.00024298,
1/12/2022,72.72%,"$3,246.41",$0.75,"$1,494,553",-,0.00023102,
1/13/2022,69.89%,"$3,378.04",$0.75,"$1,494,553",-,0.00022202,
1/14/2022,72.49%,"$3,256.76",$0.75,"$1,494,553",-,0.00023029,
1/15/2022,71.28%,"$3,311.99",$0.75,"$1,494,553",-,0.00022645,
1/16/2022,70.87%,"$3,331.25",$0.75,"$1,494,553",-,0.00022514,
1/17/2022,70.34%,"$3,356.30",$0.75,"$1,494,553",-,0.00022346,
1/18/2022,73.40%,"$3,216.59",$0.75,"$1,494,553",-,0.00023317,
1/19/2022,74.56%,"$3,166.45",$0.75,"$1,494,553",-,0.00023686,
1/20/2022,76.23%,"$3,097.02",$0.75,"$1,494,553",-,0.00024217,
1/21/2022,78.29%,"$3,015.59",$0.75,"$1,494,553",-,0.00024871,
1/22/2022,92.07%,"$2,564.34",$0.75,"$1,494,553",-,0.00029247,
1/23/2022,98.07%,"$2,407.38",$0.75,"$1,494,553",-,0.00031154,
1/24/2022,93.03%,"$2,537.84",$0.75,"$1,494,553",-,0.00029553,
1/25/2022,380.39%,"$2,447.83",$2.96,,0.00000000,0.00120840,"ABC Launches so anyone can buy TEC, but Hatchers tokens are still locked for 6 months"
1/26/2022,377.70%,"$2,465.22",$2.96,,0.00000000,0.00119988,
1/27/2022,301.16%,"$2,470.43",$2.36,,0.00000000,0.00095672,
1/28/2022,328.99%,"$2,411.86",$2.52,,0.00000000,0.00104513,
1/29/2022,301.73%,"$2,551.11",$2.45,,0.00000000,0.00095853,
1/30/2022,295.90%,"$2,603.60",$2.45,,0.00000000,0.00094002,
1/31/2022,312.43%,"$2,610.18",$2.59,,0.00000000,0.00099252,
2/1/2022,281.45%,"$2,689.22",$2.40,,0.00000000,0.00089412,
2/2/2022,285.05%,"$2,797.43",$2.53,,0.00000000,0.00090555,
2/3/2022,274.88%,"$2,690.32",$2.35,,0.00000000,0.00087322,
2/4/2022,252.73%,"$2,667.26",$2.14,,0.00000000,0.00080288,
2/5/2022,234.55%,"$2,993.10",$2.23,,0.00000000,0.00074510,
2/6/2022,275.41%,"$3,018.67",$2.64,,0.00000000,0.00087492,
2/7/2022,239.14%,"$3,062.81",$2.33,,0.00000000,0.00075971,
2/8/2022,252.34%,"$3,149.95",$2.53,,0.00000000,0.00080163,
2/9/2022,248.63%,"$3,127.44",$2.47,,0.00000000,0.00078983,
2/10/2022,236.28%,"$3,240.92",$2.43,,0.00000000,0.00075060,
2/11/2022,244.56%,"$3,081.91",$2.39,,0.00000000,0.00077692,
2/12/2022,250.99%,"$2,930.56",$2.34,,0.00000000,0.00079732,
2/13/2022,249.07%,"$2,918.09",$2.31,,0.00000000,0.00079123,
2/14/2022,252.15%,"$2,889.24",$2.31,,0.00000000,0.00080101,
2/15/2022,223.52%,"$2,935.65",$2.08,,0.00000000,0.00071008,
2/16/2022,234.31%,"$3,179.30",$2.37,,0.00000000,0.00074436,
2/17/2022,242.68%,"$3,128.64",$2.41,,0.00000000,0.00077094,
2/18/2022,251.94%,"$2,881.61",$2.31,,0.00000000,0.00080036,
2/19/2022,247.38%,"$2,792.30",$2.19,,0.00000000,0.00078588,
2/20/2022,250.36%,"$2,768.97",$2.20,,0.00000000,0.00079533,
2/21/2022,251.49%,"$2,632.49",$2.10,,0.00000000,0.00079892,
2/22/2022,248.27%,"$2,574.51",$2.03,,0.00000000,0.00078869,
2/23/2022,269.46%,"$2,644.15",$2.26,,0.00000000,0.00085600,
2/24/2022,248.68%,"$2,594.70",$2.05,,0.00000000,0.00079000,
2/25/2022,267.88%,"$2,599.93",$2.21,,0.00000000,0.00085098,
2/26/2022,244.78%,"$2,771.89",$2.16,,0.00000000,0.00077760,
2/27/2022,273.48%,"$2,785.34",$2.42,,0.00000000,0.00086878,
2/28/2022,264.07%,"$2,629.48",$2.21,,0.00000000,0.00083890,
3/1/2022,255.85%,"$2,919.29",$2.37,,0.00000000,0.00081277,
3/2/2022,257.25%,"$2,977.28",$2.43,,0.00000000,0.00081722,
3/3/2022,256.70%,"$2,953.32",$2.41,,0.00000000,0.00081546,
3/4/2022,258.47%,"$2,836.91",$2.33,,0.00000000,0.00082110,
3/5/2022,258.57%,"$2,619.36",$2.15,,0.00000000,0.00082141,
3/6/2022,254.72%,"$2,668.71",$2.16,,0.00000000,0.00080918,
3/7/2022,259.11%,"$2,558.36",$2.11,,0.00000000,0.00082315,
3/8/2022,280.15%,"$2,498.66",$2.22,,0.00000000,0.00088999,
3/9/2022,272.13%,"$2,576.63",$2.23,,0.00000000,0.00086450,
3/10/2022,271.96%,"$2,731.04",$2.36,,0.00000000,0.00086397,
3/11/2022,267.44%,"$2,611.46",$2.22,,0.00000000,0.00084961,
3/12/2022,260.59%,"$2,562.83",$2.12,,0.00000000,0.00082782,
3/13/2022,259.79%,"$2,579.46",$2.13,,0.00000000,0.00082528,
3/14/2022,261.61%,"$2,518.49",$2.09,,0.00000000,0.00083109,
3/15/2022,390.16%,"$2,591.54",$3.21,,0.00000000,0.00123944,
3/16/2022,299.65%,"$2,620.36",$2.49,,0.00000000,0.00095191,
3/17/2022,256.05%,"$2,771.76",$2.25,,0.00000000,0.00081340,
3/18/2022,251.14%,"$2,817.40",$2.25,,0.00000000,0.00079781,
3/19/2022,245.11%,"$2,945.75",$2.29,,0.00000000,0.00077867,
3/20/2022,246.71%,"$2,947.23",$2.31,,0.00000000,0.00078376,
3/21/2022,256.16%,"$2,860.64",$2.33,,0.00000000,0.00081375,
3/22/2022,248.60%,"$2,896.59",$2.29,,0.00000000,0.00078975,
3/23/2022,252.45%,"$2,969.78",$2.38,,0.00000000,0.00080197,
3/24/2022,244.40%,"$3,028.84",$2.35,,0.00000000,0.00077641,
3/25/2022,243.64%,"$3,106.66",$2.40,,0.00000000,0.00077398,
3/26/2022,248.29%,"$3,106.07",$2.45,,0.00000000,0.00078877,
3/27/2022,247.49%,"$3,140.88",$2.47,,0.00000000,0.00078622,
3/28/2022,245.70%,"$3,285.17",$2.56,,0.00000000,0.00078054,
3/29/2022,243.51%,"$3,328.93",$2.58,,0.00000000,0.00077357,
3/30/2022,241.46%,"$3,401.18",$2.61,,0.00000000,0.00076706,
3/31/2022,239.96%,"$3,383.79",$2.58,,0.00000000,0.00076230,
4/1/2022,239.17%,"$3,283.30",$2.49,,0.00000000,0.00075981,
4/2/2022,231.39%,"$3,451.20",$2.54,,0.00000000,0.00073508,
4/3/2022,230.48%,"$3,440.34",$2.52,,0.00000000,0.00073219,
4/4/2022,227.69%,"$3,521.58",$2.55,,0.00000000,0.00072333,
4/5/2022,228.45%,"$3,520.97",$2.56,,0.00000000,0.00072573,
4/6/2022,230.06%,"$3,422.97",$2.50,,0.00000000,0.00073084,
4/7/2022,242.74%,"$3,171.37",$2.45,,0.00000000,0.00077114,
4/8/2022,232.03%,"$3,232.83",$2.38,,0.00000000,0.00073711,
4/9/2022,235.80%,"$3,192.03",$2.39,,0.00000000,0.00074910,
4/10/2022,225.90%,"$3,265.94",$2.34,,0.00000000,0.00071764,
4/11/2022,230.52%,"$3,219.16",$2.36,,0.00000000,0.00073231,
4/12/2022,232.21%,"$2,992.70",$2.21,,0.00000000,0.00073769,
4/13/2022,229.07%,"$3,038.21",$2.21,,0.00000000,0.00072772,
4/14/2022,228.71%,"$3,121.40",$2.27,,0.00000000,0.00072656,
4/15/2022,230.72%,"$3,023.42",$2.22,,0.00000000,0.00073295,
4/16/2022,229.82%,"$3,045.43",$2.22,,0.00000000,0.00073008,
4/17/2022,228.11%,"$3,066.36",$2.22,,0.00000000,0.00072466,
4/18/2022,231.29%,"$2,995.72",$2.20,,0.00000000,0.00073477,
4/19/2022,230.77%,"$3,061.89",$2.24,,0.00000000,0.00073311,
4/20/2022,230.81%,"$3,104.69",$2.28,,0.00000000,0.00073323,
4/21/2022,233.31%,"$3,079.68",$2.28,,0.00000000,0.00074117,
4/22/2022,233.90%,"$2,987.49",$2.22,,0.00000000,0.00074306,
4/23/2022,231.83%,"$2,967.09",$2.19,,0.00000000,0.00073648,
4/24/2022,232.25%,"$2,940.69",$2.17,,0.00000000,0.00073782,
4/25/2022,233.32%,"$2,922.90",$2.17,,0.00000000,0.00074121,
4/26/2022,231.87%,"$3,008.34",$2.22,,0.00000000,0.00073660,
4/27/2022,233.77%,"$2,806.75",$2.08,,0.00000000,0.00074265,
4/28/2022,233.82%,"$2,889.59",$2.15,,0.00000000,0.00074279,
4/29/2022,232.86%,"$2,932.46",$2.17,,0.00000000,0.00073973,
4/30/2022,235.71%,"$2,817.49",$2.11,,0.00000000,0.00074879,
5/1/2022,237.31%,"$2,738.17",$2.06,,0.00000000,0.00075387,
5/2/2022,234.12%,"$2,832.51",$2.11,,0.00000000,0.00074376,
5/3/2022,225.54%,"$2,861.37",$2.05,,0.00000000,0.00071649,
5/4/2022,226.13%,"$2,786.05",$2.00,,0.00000000,0.00071835,
5/5/2022,232.26%,"$2,942.05",$2.17,,0.00000000,0.00073784,
5/6/2022,231.18%,"$2,753.94",$2.02,,0.00000000,0.00073440,
5/7/2022,230.34%,"$2,699.71",$1.98,,0.00000000,0.00073174,
